"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"AS3209-113","aviallaltuser",1.99,393
"AS3209-116","aviallaltuser",1.39,46
"AS3209-119","aviallaltuser",4.91,40
"AS3209-126","aviallaltuser",1.09,98
"AS3209-129","aviallaltuser",1.86,17
"AS3209-158","aviallaltuser",12.79,117
"AS3209-262","aviallaltuser",12.22,12
"AS3221","aviallaltuser",101.93,68
"AS3222","aviallaltuser",261.52,17
"AS3223","aviallaltuser",433.13,4
"AS3477-11","aviallaltuser",9.89,67
"AS3578-905","aviallaltuser",0.64,552
"AS3580-4-15","aviallaltuser",22.07,308
"AS4411J060406","aviallaltuser",241.74,8
"AS4824N03","aviallaltuser",7.13,305
"AS4824N05","aviallaltuser",8.12,188
"AS4824N06","aviallaltuser",6.9,35
"AS4824N08","aviallaltuser",5.13,88
"AS5174J0606","aviallaltuser",17.52,4
"AS5178J05","aviallaltuser",12.65,6
"BVKIT2R","aviallaltuser",162.35,5
"C30C0MPK","aviallaltuser",521.29,8
"C30ENGAC1","aviallaltuser",106.05,3
"C40C47TU","aviallaltuser",3073.2,18
"F2784D","aviallaltuser",0.81,127
"F2785A","aviallaltuser",0.81,155
"GT11778","aviallaltuser",0.81,130
"GT2784A","aviallaltuser",1,55
"M250-10071","aviallaltuser",5956.88,3
"M250-10088","aviallaltuser",1933.22,4
"M250-10109","aviallaltuser",986.71,1
"M250-10115","aviallaltuser",337.49,5
"M250-10119","aviallaltuser",474.38,1
"M250-10146","aviallaltuser",5850.49,20
"M250-10327","aviallaltuser",8560.87,7
"AN960XC916L",,,
"AS3209-039",,,
"AS3209-159",,,
"MS21318-23",,,
"MS35206-241",,,
"MS35276-260","aviallaltuser",1.64,49
"MS35276-261","aviallaltuser",1.77,246
"MS35333-71","aviallaltuser",0.74,155
"MS35333-73","aviallaltuser",0.36,44
"MS35338-137","aviallaltuser",0.12,899
"MS51957-41",,,
"MS90725-113","aviallaltuser",80.59,458
"MS9245-24","aviallaltuser",0.75,7
"MS21048-08W","aviallaltuser",9.4,45
"MS9024-19",,,
"MS9217-05","aviallaltuser",17.16,1
"MS9432-05","aviallaltuser",22.45,493
"MS9489-04","aviallaltuser",10.2,247
"MS9489-06","aviallaltuser",4.88,42
"MS9489-08","aviallaltuser",7.34,202
