"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"6842094","COUPLING, SHAFT-FLEXIBLE,F/CNT,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",5,null,0,"aviallaltuser",815.14,"","https://shop.boeing.com/aviation-supply/p/6842094=64","{\"$date\":\"2024-02-14T01:12:54.097Z\"}","{\"$date\":\"2024-02-25T16:41:03.746Z\"}"
"6843609","WASHER:,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",79,"https://www.aviall.com/content-images/6843609=64_120.JPG",0,"aviallaltuser",39.14,"","https://shop.boeing.com/aviation-supply/p/6843609=64","{\"$date\":\"2024-02-14T01:21:20.117Z\"}","{\"$date\":\"2024-02-25T15:47:41.196Z\"}"
"6843610","ORING:,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",245,"https://www.aviall.com/content-images/6843610=64_120.JPG",0,"aviallaltuser",27.83,"","https://shop.boeing.com/aviation-supply/p/6843610=64","{\"$date\":\"2024-02-14T01:21:44.684Z\"}","{\"$date\":\"2024-02-25T15:38:52.343Z\"}"
"6844003","RING, SEAL SUPPORT FIREWA,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",15,null,0,"aviallaltuser",68.46,"","https://shop.boeing.com/aviation-supply/p/6844003=64","{\"$date\":\"2024-02-14T01:22:35.998Z\"}","{\"$date\":\"2024-02-25T16:24:35.253Z\"}"
"6844007","GEARSHAFT: OIL PUMP,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",1,"https://www.aviall.com/content-images/6844007=64_120.JPG",0,"aviallaltuser",93.88,"","https://shop.boeing.com/aviation-supply/p/6844007=64","{\"$date\":\"2024-02-14T01:23:02.938Z\"}","{\"$date\":\"2024-02-25T15:52:04.611Z\"}"
"6844169","TUBE: FUEL CONTROL TO FIRESHIE,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",31,"https://www.aviall.com/content-images/6844169=64_120.JPG",0,"aviallaltuser",236.41,"","https://shop.boeing.com/aviation-supply/p/6844169=64","{\"$date\":\"2024-02-14T01:24:24.571Z\"}","{\"$date\":\"2024-02-25T15:32:15.169Z\"}"
"6844317","BRACKET: 90DEG,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",105,"https://www.aviall.com/content-images/6844317=64_120.JPG",0,"aviallaltuser",21.95,"","https://shop.boeing.com/aviation-supply/p/6844317=64","{\"$date\":\"2024-02-14T01:25:20.735Z\"}","{\"$date\":\"2024-02-25T16:09:31.275Z\"}"
"6844326","NUT: HEX HD,PLAIN,.500-20,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",3,null,0,"aviallaltuser",29.62,"","https://shop.boeing.com/aviation-supply/p/6844326=64","{\"$date\":\"2024-02-14T01:26:13.259Z\"}","{\"$date\":\"2024-02-25T16:14:07.453Z\"}"
"6844422","Rolls-Royce® Turbine Segment Damper Bearing 6844422","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",1750,"https://www.aviall.com/content-images/6844422=64_120.JPG",0,"aviallaltuser",67.37,"","https://shop.boeing.com/aviation-supply/p/6844422=64","{\"$date\":\"2024-02-14T01:27:06.959Z\"}","{\"$date\":\"2024-02-25T15:24:08.257Z\"}"
"6844786","TUBE: REAR TURBINE BEARING OI,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",42,null,0,"aviallaltuser",1463.02,"","https://shop.boeing.com/aviation-supply/p/6844786=T5","{\"$date\":\"2024-02-14T01:32:01.810Z\"}","{\"$date\":\"2024-02-25T16:09:56.972Z\"}"
